Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Block?, Class Name
minecraft:air, Air, tile.air, false, net.minecraft.item.ItemAir
minecraft:stone:0, Stone, tile.stone.stone, true, net.minecraft.item.ItemStack
minecraft:stone:1, Granite, tile.stone.granite, true, net.minecraft.item.ItemStack
minecraft:stone:2, Polished Granite, tile.stone.graniteSmooth, true, net.minecraft.item.ItemStack
minecraft:stone:3, Diorite, tile.stone.diorite, true, net.minecraft.item.ItemStack
minecraft:stone:4, Polished Diorite, tile.stone.dioriteSmooth, true, net.minecraft.item.ItemStack
minecraft:stone:5, Andesite, tile.stone.andesite, true, net.minecraft.item.ItemStack
minecraft:stone:6, Polished Andesite, tile.stone.andesiteSmooth, true, net.minecraft.item.ItemStack
minecraft:grass, Grass Block, tile.grass, true, net.minecraft.item.ItemColored
minecraft:dirt:0, Dirt, tile.dirt.default, true, net.minecraft.item.ItemStack
minecraft:dirt:1, Coarse Dirt, tile.dirt.coarse, true, net.minecraft.item.ItemStack
minecraft:dirt:2, Podzol, tile.dirt.podzol, true, net.minecraft.item.ItemStack
minecraft:cobblestone, Cobblestone, tile.stonebrick, true, net.minecraft.item.ItemBlock
minecraft:planks:0, Oak Wood Planks, tile.wood.oak, true, net.minecraft.item.ItemStack
minecraft:planks:1, Spruce Wood Planks, tile.wood.spruce, true, net.minecraft.item.ItemStack
minecraft:planks:2, Birch Wood Planks, tile.wood.birch, true, net.minecraft.item.ItemStack
minecraft:planks:3, Jungle Wood Planks, tile.wood.jungle, true, net.minecraft.item.ItemStack
minecraft:planks:4, Acacia Wood Planks, tile.wood.acacia, true, net.minecraft.item.ItemStack
minecraft:planks:5, Dark Oak Wood Planks, tile.wood.big_oak, true, net.minecraft.item.ItemStack
minecraft:sapling:0, Oak Sapling, tile.sapling.oak, true, net.minecraft.item.ItemStack
minecraft:sapling:1, Spruce Sapling, tile.sapling.spruce, true, net.minecraft.item.ItemStack
minecraft:sapling:2, Birch Sapling, tile.sapling.birch, true, net.minecraft.item.ItemStack
minecraft:sapling:3, Jungle Sapling, tile.sapling.jungle, true, net.minecraft.item.ItemStack
minecraft:sapling:4, Acacia Sapling, tile.sapling.acacia, true, net.minecraft.item.ItemStack
minecraft:sapling:5, Dark Oak Sapling, tile.sapling.big_oak, true, net.minecraft.item.ItemStack
minecraft:bedrock, Bedrock, tile.bedrock, true, net.minecraft.item.ItemBlock
minecraft:sand:0, Sand, tile.sand.default, true, net.minecraft.item.ItemStack
minecraft:sand:1, Red Sand, tile.sand.red, true, net.minecraft.item.ItemStack
minecraft:gravel, Gravel, tile.gravel, true, net.minecraft.item.ItemBlock
minecraft:gold_ore, Gold Ore, tile.oreGold, true, net.minecraft.item.ItemBlock
minecraft:iron_ore, Iron Ore, tile.oreIron, true, net.minecraft.item.ItemBlock
minecraft:coal_ore, Coal Ore, tile.oreCoal, true, net.minecraft.item.ItemBlock
minecraft:log:0, Oak Wood, tile.log.oak, true, net.minecraft.item.ItemStack
minecraft:log:1, Spruce Wood, tile.log.spruce, true, net.minecraft.item.ItemStack
minecraft:log:2, Birch Wood, tile.log.birch, true, net.minecraft.item.ItemStack
minecraft:log:3, Jungle Wood, tile.log.jungle, true, net.minecraft.item.ItemStack
minecraft:leaves:0, Oak Leaves, tile.leaves.oak, true, net.minecraft.item.ItemStack
minecraft:leaves:1, Spruce Leaves, tile.leaves.spruce, true, net.minecraft.item.ItemStack
minecraft:leaves:2, Birch Leaves, tile.leaves.birch, true, net.minecraft.item.ItemStack
minecraft:leaves:3, Jungle Leaves, tile.leaves.jungle, true, net.minecraft.item.ItemStack
minecraft:sponge:0, Sponge, tile.sponge.dry, true, net.minecraft.item.ItemStack
minecraft:sponge:1, Wet Sponge, tile.sponge.wet, true, net.minecraft.item.ItemStack
minecraft:glass, Glass, tile.glass, true, net.minecraft.item.ItemBlock
minecraft:lapis_ore, Lapis Lazuli Ore, tile.oreLapis, true, net.minecraft.item.ItemBlock
minecraft:lapis_block, Lapis Lazuli Block, tile.blockLapis, true, net.minecraft.item.ItemBlock
minecraft:dispenser, Dispenser, tile.dispenser, true, net.minecraft.item.ItemBlock
minecraft:sandstone:0, Sandstone, tile.sandStone.default, true, net.minecraft.item.ItemStack
minecraft:sandstone:1, Chiseled Sandstone, tile.sandStone.chiseled, true, net.minecraft.item.ItemStack
minecraft:sandstone:2, Smooth Sandstone, tile.sandStone.smooth, true, net.minecraft.item.ItemStack
minecraft:noteblock, Note Block, tile.musicBlock, true, net.minecraft.item.ItemBlock
minecraft:golden_rail, Powered Rail, tile.goldenRail, true, net.minecraft.item.ItemBlock
minecraft:detector_rail, Detector Rail, tile.detectorRail, true, net.minecraft.item.ItemBlock
minecraft:sticky_piston, Sticky Piston, tile.pistonStickyBase, true, net.minecraft.item.ItemPiston
minecraft:web, Cobweb, tile.web, true, net.minecraft.item.ItemBlock
minecraft:tallgrass:1, Grass, tile.tallgrass.grass, true, net.minecraft.item.ItemStack
minecraft:tallgrass:2, Fern, tile.tallgrass.fern, true, net.minecraft.item.ItemStack
minecraft:deadbush, Dead Bush, tile.deadbush, true, net.minecraft.item.ItemBlock
minecraft:piston, Piston, tile.pistonBase, true, net.minecraft.item.ItemPiston
minecraft:wool:0, White Wool, tile.cloth.white, true, net.minecraft.item.ItemStack
minecraft:wool:1, Orange Wool, tile.cloth.orange, true, net.minecraft.item.ItemStack
minecraft:wool:2, Magenta Wool, tile.cloth.magenta, true, net.minecraft.item.ItemStack
minecraft:wool:3, Light Blue Wool, tile.cloth.lightBlue, true, net.minecraft.item.ItemStack
minecraft:wool:4, Yellow Wool, tile.cloth.yellow, true, net.minecraft.item.ItemStack
minecraft:wool:5, Lime Wool, tile.cloth.lime, true, net.minecraft.item.ItemStack
minecraft:wool:6, Pink Wool, tile.cloth.pink, true, net.minecraft.item.ItemStack
minecraft:wool:7, Gray Wool, tile.cloth.gray, true, net.minecraft.item.ItemStack
minecraft:wool:8, Light Gray Wool, tile.cloth.silver, true, net.minecraft.item.ItemStack
minecraft:wool:9, Cyan Wool, tile.cloth.cyan, true, net.minecraft.item.ItemStack
minecraft:wool:10, Purple Wool, tile.cloth.purple, true, net.minecraft.item.ItemStack
minecraft:wool:11, Blue Wool, tile.cloth.blue, true, net.minecraft.item.ItemStack
minecraft:wool:12, Brown Wool, tile.cloth.brown, true, net.minecraft.item.ItemStack
minecraft:wool:13, Green Wool, tile.cloth.green, true, net.minecraft.item.ItemStack
minecraft:wool:14, Red Wool, tile.cloth.red, true, net.minecraft.item.ItemStack
minecraft:wool:15, Black Wool, tile.cloth.black, true, net.minecraft.item.ItemStack
minecraft:yellow_flower:0, Dandelion, tile.flower1.dandelion, true, net.minecraft.item.ItemStack
minecraft:red_flower:0, Poppy, tile.flower2.poppy, true, net.minecraft.item.ItemStack
minecraft:red_flower:1, Blue Orchid, tile.flower2.blueOrchid, true, net.minecraft.item.ItemStack
minecraft:red_flower:2, Allium, tile.flower2.allium, true, net.minecraft.item.ItemStack
minecraft:red_flower:3, Azure Bluet, tile.flower2.houstonia, true, net.minecraft.item.ItemStack
minecraft:red_flower:4, Red Tulip, tile.flower2.tulipRed, true, net.minecraft.item.ItemStack
minecraft:red_flower:5, Orange Tulip, tile.flower2.tulipOrange, true, net.minecraft.item.ItemStack
minecraft:red_flower:6, White Tulip, tile.flower2.tulipWhite, true, net.minecraft.item.ItemStack
minecraft:red_flower:7, Pink Tulip, tile.flower2.tulipPink, true, net.minecraft.item.ItemStack
minecraft:red_flower:8, Oxeye Daisy, tile.flower2.oxeyeDaisy, true, net.minecraft.item.ItemStack
minecraft:brown_mushroom, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:red_mushroom, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:gold_block, Block of Gold, tile.blockGold, true, net.minecraft.item.ItemBlock
minecraft:iron_block, Block of Iron, tile.blockIron, true, net.minecraft.item.ItemBlock
minecraft:stone_slab:0, Stone Slab, tile.stoneSlab.stone, true, net.minecraft.item.ItemStack
minecraft:stone_slab:1, Sandstone Slab, tile.stoneSlab.sand, true, net.minecraft.item.ItemStack
minecraft:stone_slab:3, Cobblestone Slab, tile.stoneSlab.cobble, true, net.minecraft.item.ItemStack
minecraft:stone_slab:4, Bricks Slab, tile.stoneSlab.brick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:5, Stone Bricks Slab, tile.stoneSlab.smoothStoneBrick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:6, Nether Brick Slab, tile.stoneSlab.netherBrick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:7, Quartz Slab, tile.stoneSlab.quartz, true, net.minecraft.item.ItemStack
minecraft:brick_block, Bricks, tile.brick, true, net.minecraft.item.ItemBlock
minecraft:tnt, TNT, tile.tnt, true, net.minecraft.item.ItemBlock
minecraft:bookshelf, Oak Bookshelf, tile.oak_bookshelf, true, net.minecraft.item.ItemBlock
minecraft:mossy_cobblestone, Moss Stone, tile.stoneMoss, true, net.minecraft.item.ItemBlock
minecraft:obsidian, Obsidian, tile.obsidian, true, net.minecraft.item.ItemBlock
minecraft:torch, Torch, tile.torch, true, net.minecraft.item.ItemBlock
minecraft:mob_spawner, Monster Spawner, tile.mobSpawner, true, net.minecraft.item.ItemBlock
minecraft:oak_stairs, Oak Wood Stairs, tile.stairsWood, true, net.minecraft.item.ItemBlock
minecraft:chest, Oak Chest, tile.oak_chest, true, net.minecraft.item.ItemBlock
minecraft:diamond_ore, Diamond Ore, tile.oreDiamond, true, net.minecraft.item.ItemBlock
minecraft:diamond_block, Block of Diamond, tile.blockDiamond, true, net.minecraft.item.ItemBlock
minecraft:crafting_table, Crafting Table, tile.workbench, true, net.minecraft.item.ItemBlock
minecraft:farmland, Farmland, tile.farmland, true, net.minecraft.item.ItemBlock
minecraft:furnace, Furnace, tile.furnace, true, net.minecraft.item.ItemBlock
minecraft:ladder, Ladder, tile.ladder, true, net.minecraft.item.ItemBlock
minecraft:rail, Rail, tile.rail, true, net.minecraft.item.ItemBlock
minecraft:stone_stairs, Cobblestone Stairs, tile.stairsStone, true, net.minecraft.item.ItemBlock
minecraft:lever, Lever, tile.lever, true, net.minecraft.item.ItemBlock
minecraft:stone_pressure_plate, Stone Pressure Plate, tile.pressurePlateStone, true, net.minecraft.item.ItemBlock
minecraft:wooden_pressure_plate, Wooden Pressure Plate, tile.pressurePlateWood, true, net.minecraft.item.ItemBlock
minecraft:redstone_ore, Redstone Ore, tile.oreRedstone, true, net.minecraft.item.ItemBlock
minecraft:redstone_torch, Redstone Torch, tile.notGate, true, net.minecraft.item.ItemBlock
minecraft:stone_button, Button, tile.button, true, net.minecraft.item.ItemBlock
minecraft:snow_layer, Snow, tile.snow, true, net.minecraft.item.ItemSnow
minecraft:ice, Ice, tile.ice, true, net.minecraft.item.ItemBlock
minecraft:snow, Snow, tile.snow, true, net.minecraft.item.ItemBlock
minecraft:cactus, Cactus, tile.cactus, true, net.minecraft.item.ItemBlock
minecraft:clay, Clay, tile.clay, true, net.minecraft.item.ItemBlock
minecraft:jukebox, Jukebox, tile.jukebox, true, net.minecraft.item.ItemBlock
minecraft:fence, Oak Fence, tile.fence, true, net.minecraft.item.ItemBlock
minecraft:pumpkin, Pumpkin, tile.pumpkin, true, net.minecraft.item.ItemBlock
minecraft:netherrack, Netherrack, tile.hellrock, true, net.minecraft.item.ItemBlock
minecraft:soul_sand, Soul Sand, tile.hellsand, true, net.minecraft.item.ItemBlock
minecraft:glowstone, Glowstone, tile.lightgem, true, net.minecraft.item.ItemBlock
minecraft:lit_pumpkin, Jack o'Lantern, tile.litpumpkin, true, net.minecraft.item.ItemBlock
minecraft:stained_glass:0, White Stained Glass, tile.stainedGlass.white, true, net.minecraft.item.ItemStack
minecraft:stained_glass:1, Orange Stained Glass, tile.stainedGlass.orange, true, net.minecraft.item.ItemStack
minecraft:stained_glass:2, Magenta Stained Glass, tile.stainedGlass.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_glass:3, Light Blue Stained Glass, tile.stainedGlass.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_glass:4, Yellow Stained Glass, tile.stainedGlass.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_glass:5, Lime Stained Glass, tile.stainedGlass.lime, true, net.minecraft.item.ItemStack
minecraft:stained_glass:6, Pink Stained Glass, tile.stainedGlass.pink, true, net.minecraft.item.ItemStack
minecraft:stained_glass:7, Gray Stained Glass, tile.stainedGlass.gray, true, net.minecraft.item.ItemStack
minecraft:stained_glass:8, Light Gray Stained Glass, tile.stainedGlass.silver, true, net.minecraft.item.ItemStack
minecraft:stained_glass:9, Cyan Stained Glass, tile.stainedGlass.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_glass:10, Purple Stained Glass, tile.stainedGlass.purple, true, net.minecraft.item.ItemStack
minecraft:stained_glass:11, Blue Stained Glass, tile.stainedGlass.blue, true, net.minecraft.item.ItemStack
minecraft:stained_glass:12, Brown Stained Glass, tile.stainedGlass.brown, true, net.minecraft.item.ItemStack
minecraft:stained_glass:13, Green Stained Glass, tile.stainedGlass.green, true, net.minecraft.item.ItemStack
minecraft:stained_glass:14, Red Stained Glass, tile.stainedGlass.red, true, net.minecraft.item.ItemStack
minecraft:stained_glass:15, Black Stained Glass, tile.stainedGlass.black, true, net.minecraft.item.ItemStack
minecraft:trapdoor, Wooden Trapdoor, tile.trapdoor, true, net.minecraft.item.ItemBlock
minecraft:monster_egg:0, Stone Monster Egg, tile.monsterStoneEgg.stone, true, net.minecraft.item.ItemStack
minecraft:monster_egg:1, Cobblestone Monster Egg, tile.monsterStoneEgg.cobble, true, net.minecraft.item.ItemStack
minecraft:monster_egg:2, Stone Brick Monster Egg, tile.monsterStoneEgg.brick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg, tile.monsterStoneEgg.mossybrick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg, tile.monsterStoneEgg.crackedbrick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg, tile.monsterStoneEgg.chiseledbrick, true, net.minecraft.item.ItemStack
minecraft:stonebrick:0, Stone Bricks, tile.stonebricksmooth.default, true, net.minecraft.item.ItemStack
minecraft:stonebrick:1, Mossy Stone Bricks, tile.stonebricksmooth.mossy, true, net.minecraft.item.ItemStack
minecraft:stonebrick:2, Cracked Stone Bricks, tile.stonebricksmooth.cracked, true, net.minecraft.item.ItemStack
minecraft:stonebrick:3, Chiseled Stone Bricks, tile.stonebricksmooth.chiseled, true, net.minecraft.item.ItemStack
minecraft:brown_mushroom_block, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:red_mushroom_block, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:iron_bars, Iron Bars, tile.fenceIron, true, net.minecraft.item.ItemBlock
minecraft:glass_pane, Glass Pane, tile.thinGlass, true, net.minecraft.item.ItemBlock
minecraft:melon_block, Melon, tile.melon, true, net.minecraft.item.ItemBlock
minecraft:vine, Vines, tile.vine, true, net.minecraft.item.ItemColored
minecraft:fence_gate, Oak Fence Gate, tile.fenceGate, true, net.minecraft.item.ItemBlock
minecraft:brick_stairs, Brick Stairs, tile.stairsBrick, true, net.minecraft.item.ItemBlock
minecraft:stone_brick_stairs, Stone Brick Stairs, tile.stairsStoneBrickSmooth, true, net.minecraft.item.ItemBlock
minecraft:mycelium, Mycelium, tile.mycel, true, net.minecraft.item.ItemBlock
minecraft:waterlily, Lily Pad, tile.waterlily, true, net.minecraft.item.ItemLilyPad
minecraft:nether_brick, Nether Brick, tile.netherBrick, true, net.minecraft.item.ItemBlock
minecraft:nether_brick_fence, Nether Brick Fence, tile.netherFence, true, net.minecraft.item.ItemBlock
minecraft:nether_brick_stairs, Nether Brick Stairs, tile.stairsNetherBrick, true, net.minecraft.item.ItemBlock
minecraft:enchanting_table, Enchantment Table, tile.enchantmentTable, true, net.minecraft.item.ItemBlock
minecraft:end_portal_frame, End Portal, tile.endPortalFrame, true, net.minecraft.item.ItemBlock
minecraft:end_stone, End Stone, tile.whiteStone, true, net.minecraft.item.ItemBlock
minecraft:dragon_egg, Dragon Egg, tile.dragonEgg, true, net.minecraft.item.ItemBlock
minecraft:redstone_lamp, Redstone Lamp, tile.redstoneLight, true, net.minecraft.item.ItemBlock
minecraft:wooden_slab:0, Oak Wood Slab, tile.woodSlab.oak, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:1, Spruce Wood Slab, tile.woodSlab.spruce, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:2, Birch Wood Slab, tile.woodSlab.birch, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:3, Jungle Wood Slab, tile.woodSlab.jungle, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:4, Acacia Wood Slab, tile.woodSlab.acacia, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:5, Dark Oak Wood Slab, tile.woodSlab.big_oak, true, net.minecraft.item.ItemStack
minecraft:sandstone_stairs, Sandstone Stairs, tile.stairsSandStone, true, net.minecraft.item.ItemBlock
minecraft:emerald_ore, Emerald Ore, tile.oreEmerald, true, net.minecraft.item.ItemBlock
minecraft:ender_chest, Ender Chest, tile.enderChest, true, net.minecraft.item.ItemBlock
minecraft:tripwire_hook, Tripwire Hook, tile.tripWireSource, true, net.minecraft.item.ItemBlock
minecraft:emerald_block, Block of Emerald, tile.blockEmerald, true, net.minecraft.item.ItemBlock
minecraft:spruce_stairs, Spruce Wood Stairs, tile.stairsWoodSpruce, true, net.minecraft.item.ItemBlock
minecraft:birch_stairs, Birch Wood Stairs, tile.stairsWoodBirch, true, net.minecraft.item.ItemBlock
minecraft:jungle_stairs, Jungle Wood Stairs, tile.stairsWoodJungle, true, net.minecraft.item.ItemBlock
minecraft:command_block, Command Block, tile.commandBlock, true, net.minecraft.item.ItemBlock
minecraft:beacon, Beacon, tile.beacon, true, net.minecraft.item.ItemBlock
minecraft:cobblestone_wall:0, Cobblestone Wall, tile.cobbleWall.normal, true, net.minecraft.item.ItemStack
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall, tile.cobbleWall.mossy, true, net.minecraft.item.ItemStack
minecraft:wooden_button, Button, tile.button, true, net.minecraft.item.ItemBlock
minecraft:anvil:0, Anvil, tile.anvil.intact, true, net.minecraft.item.ItemStack
minecraft:anvil:1, Slightly Damaged Anvil, tile.anvil.slightlyDamaged, true, net.minecraft.item.ItemStack
minecraft:anvil:2, Very Damaged Anvil, tile.anvil.veryDamaged, true, net.minecraft.item.ItemStack
minecraft:trapped_chest, Oak Trapped Chest, tile.oak_chest_trap, true, net.minecraft.item.ItemBlock
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light), tile.weightedPlate_light, true, net.minecraft.item.ItemBlock
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy), tile.weightedPlate_heavy, true, net.minecraft.item.ItemBlock
minecraft:daylight_detector, Daylight Sensor, tile.daylightDetector, true, net.minecraft.item.ItemBlock
minecraft:redstone_block, Block of Redstone, tile.blockRedstone, true, net.minecraft.item.ItemBlock
minecraft:quartz_ore, Nether Quartz Ore, tile.netherquartz, true, net.minecraft.item.ItemBlock
minecraft:hopper, Hopper, tile.hopper, true, net.minecraft.item.ItemBlock
minecraft:quartz_block:0, Block of Quartz, tile.quartzBlock.default, true, net.minecraft.item.ItemStack
minecraft:quartz_block:1, Chiseled Quartz Block, tile.quartzBlock.chiseled, true, net.minecraft.item.ItemStack
minecraft:quartz_block:2, Pillar Quartz Block, tile.quartzBlock.lines, true, net.minecraft.item.ItemStack
minecraft:quartz_stairs, Quartz Stairs, tile.stairsQuartz, true, net.minecraft.item.ItemBlock
minecraft:activator_rail, Activator Rail, tile.activatorRail, true, net.minecraft.item.ItemBlock
minecraft:dropper, Dropper, tile.dropper, true, net.minecraft.item.ItemBlock
